supplier_id,supplier_name,total_spend,cum_spend_pct
SUP-001,Industrial Partner 001,12391887.54,1.4846790878813447
SUP-013,Industrial Partner 013,12335985.66,2.962660539753539
SUP-048,Industrial Partner 048,12191741.23,4.423359984500257
SUP-006,Industrial Partner 006,12063380.89,5.868680503970566
SUP-057,Industrial Partner 057,12033704.15,7.31044543635761
SUP-035,Industrial Partner 035,12023955.790000001,8.75104241219353
SUP-037,Industrial Partner 037,12021606.82,10.191357956598944
SUP-031,Industrial Partner 031,11988610.58,11.62772020273978
SUP-066,Industrial Partner 066,11907053.44,13.054311041592214
SUP-011,Industrial Partner 011,11877858.12,14.477403972565153
SUP-014,Industrial Partner 014,11868987.49,15.899434108317037
SUP-046,Industrial Partner 046,11730820.6,17.30491039046442
SUP-052,Industrial Partner 052,11638329.82,18.69930529970194
SUP-055,Industrial Partner 055,11631675.1,20.0929029031547
SUP-012,Industrial Partner 012,11603940.0,21.48317754851594
SUP-062,Industrial Partner 062,11565893.78,22.86889385463914
SUP-038,Industrial Partner 038,11549556.59,24.252652792744804
SUP-023,Industrial Partner 023,11476263.45,25.62763043809809
SUP-022,Industrial Partner 022,11474339.03,27.00237751759763
SUP-039,Industrial Partner 039,11472396.5,28.376891861474025
SUP-026,Industrial Partner 026,11303312.6,29.731148167209163
SUP-004,Industrial Partner 004,11300368.88,31.08505178417833
SUP-019,Industrial Partner 019,11298407.61,32.4387204202743
SUP-015,Industrial Partner 015,11293619.1,33.79181534226609
SUP-054,Industrial Partner 054,11268424.17,35.14189164537751
SUP-064,Industrial Partner 064,11233295.71,36.48775918773452
SUP-040,Industrial Partner 040,11195069.26,37.829046797394774
SUP-025,Industrial Partner 025,11186482.38,39.169305608082716
SUP-010,Industrial Partner 010,11147089.91,40.50484478455511
SUP-036,Industrial Partner 036,11138964.87,41.83941049536804
SUP-073,Industrial Partner 073,11128466.25,43.172718360552906
SUP-003,Industrial Partner 003,11120676.84,44.50509297209932
SUP-075,Industrial Partner 075,11116984.18,45.837025163952774
SUP-063,Industrial Partner 063,11112879.92,47.16846562208338
SUP-051,Industrial Partner 051,11108236.1,48.499349701500925
SUP-061,Industrial Partner 061,11099559.41,49.829194221759025
SUP-002,Industrial Partner 002,11083734.72,51.15714277691582
SUP-042,Industrial Partner 042,11073692.38,52.48388815361062
SUP-053,Industrial Partner 053,11052594.01,53.80810572260655
SUP-034,Industrial Partner 034,11033515.02,55.13003742696889
SUP-016,Industrial Partner 016,11026802.11,56.45116485376951
SUP-033,Industrial Partner 033,11021995.6,57.77171640987573
SUP-044,Industrial Partner 044,11012259.47,59.09110147471407
SUP-030,Industrial Partner 030,10989024.4,60.407702732612336
SUP-045,Industrial Partner 045,10983724.89,61.723669053206045
SUP-021,Industrial Partner 021,10981027.2,63.03931216202788
SUP-058,Industrial Partner 058,10975992.31,64.35435203781773
SUP-056,Industrial Partner 056,10958538.23,65.66730073036447
SUP-041,Industrial Partner 041,10956768.94,66.98003744327092
SUP-071,Industrial Partner 071,10939661.26,68.29072447531507
SUP-007,Industrial Partner 007,10895582.42,69.59613039649095
SUP-028,Industrial Partner 028,10874671.39,70.89903095527981
SUP-074,Industrial Partner 074,10871758.27,72.20158249150606
SUP-070,Industrial Partner 070,10862974.41,73.50308162847428
SUP-049,Industrial Partner 049,10861490.17,74.80440293780465
SUP-069,Industrial Partner 069,10837407.35,76.10283887078575
SUP-017,Industrial Partner 017,10816981.94,77.39882762378795
SUP-043,Industrial Partner 043,10797176.9,78.69244352369351
SUP-027,Industrial Partner 027,10768885.11,79.98266976816231
SUP-059,Industrial Partner 059,10735947.47,81.26894973526582
SUP-020,Industrial Partner 020,10734376.51,82.55504148475903
SUP-072,Industrial Partner 072,10709814.41,83.83819043509378
SUP-024,Industrial Partner 024,10700297.66,85.12019917820311
SUP-018,Industrial Partner 018,10687222.0,86.4006413190576
SUP-029,Industrial Partner 029,10631331.540000001,87.67438719213959
SUP-050,Industrial Partner 050,10605009.67,88.94497942701945
SUP-060,Industrial Partner 060,10570466.33,90.21143300470459
SUP-047,Industrial Partner 047,10493589.51,91.46867592690012
SUP-032,Industrial Partner 032,10486091.49,92.72502050705869
SUP-067,Industrial Partner 067,10341023.27,93.96398438134376
SUP-005,Industrial Partner 005,10314574.41,95.19977940268262
SUP-065,Industrial Partner 065,10132774.58,96.41379288308109
SUP-008,Industrial Partner 008,10092654.74,97.62299958265098
SUP-009,Industrial Partner 009,10086263.709999999,98.83144056928484
SUP-068,Industrial Partner 068,9753391.94,99.99999999999999
